,keV_per_bin,Ex_min,Ex_max,Eg_min,Eg_max,Gg,Gg_err,rhoSn,rhoSn_err,E_gamma,gSF-median,gSF-error,E_x,NLD-median,NLD-error
0,200.0,2970.5,5200.0,999.9,6000.0,24.2,5.271114729701861,29194819.207288582,4442689.879370002,,,,,,
0,,,,,,,,,,1.1,3.053602487572785e-08,1.1844801789530697e-08,0.0,23.720713079398585,7.739619864541805
1,,,,,,,,,,1.3,3.709784851987807e-08,1.4745477854177677e-08,0.2,30.396623733988044,8.901137426446226
2,,,,,,,,,,1.5,4.164300613136958e-08,1.5742442852263076e-08,0.4,57.795136697909925,2.8203359179034564
3,,,,,,,,,,1.7,4.886503411689116e-08,1.623138685235118e-08,0.6,97.42780148002542,25.571145974811458
4,,,,,,,,,,1.9000000000000001,5.929593810566726e-08,1.6664649516935626e-08,0.8,146.89900310582746,40.38237558046522
5,,,,,,,,,,2.1,6.686794267199296e-08,1.976911302490045e-08,1.0,208.6009342760087,51.58872569731366
6,,,,,,,,,,2.3000000000000003,6.535759515954924e-08,2.156864601775363e-08,1.2,338.4984448252969,90.26262056105679
7,,,,,,,,,,2.5,6.746744226595888e-08,2.237751931264774e-08,1.4000000000000001,522.1593880088602,131.93889684512396
8,,,,,,,,,,2.7,6.58925397312058e-08,2.0902179190867663e-08,1.6,750.3301477386332,187.513842769946
9,,,,,,,,,,2.9,7.284445475165859e-08,1.9558095262957642e-08,1.8,1095.235761002129,335.2080736833567
10,,,,,,,,,,3.1,4.946048793697108e-08,1.5578437217439154e-08,2.0,1621.261137766486,461.6232244713874
11,,,,,,,,,,3.3000000000000003,2.14072485735036e-08,9.941962659199105e-09,2.2,2338.151022293396,753.548122365702
12,,,,,,,,,,3.5,9.474673117580722e-08,2.6394680351245965e-08,2.4,3765.563769612189,1361.2577245440161
13,,,,,,,,,,3.7,9.806231823278129e-08,3.77823163730712e-08,2.6,6754.890259515162,2956.834818222298
14,,,,,,,,,,3.9,1.264323126170946e-07,4.4267683681991686e-08,2.8000000000000003,7370.992249357809,2869.55854046062
15,,,,,,,,,,4.1,1.6136243692153059e-07,7.154991065660633e-08,3.0,13344.606477073123,5164.1608152427325
16,,,,,,,,,,4.3,2.2027252133577372e-07,6.489243836462889e-08,3.2,23405.919295392607,8499.588656050237
17,,,,,,,,,,4.5,3.707836137311833e-07,1.5649203982605494e-07,3.4,36705.53104350704,10033.492312762413
18,,,,,,,,,,4.7,6.725945761654109e-07,3.3887558797402156e-07,3.6,68001.5534567279,15939.345965496483
19,,,,,,,,,,4.9,2.5715205290892716e-07,2.2429737541701242e-07,3.8000000000000003,101173.71638342316,59193.15679217856
20,,,,,,,,,,5.1000000000000005,7.982129855146888e-07,9.244319797069132e-07,4.0,168056.73417485363,131520.59019586956
