,E_gamma,gSF-median,gSF-error,E_x,NLD-median,NLD-error
0,1.1,2.772907332560226e-09,1.958061662009874e-08,0.0,96.32758157664716,39.80873563973614
1,1.3,3.4880519517326625e-09,2.9080816844469136e-08,0.2,29.111930129944422,14.462212367283463
2,1.5,3.219628877772052e-09,3.1499753547713806e-08,0.4,54.301854066238704,4.539168830530947
3,1.7,2.832684214155389e-09,4.351959833724333e-08,0.6,86.31828174731238,24.187142863688592
4,1.9000000000000001,2.577107302518762e-09,4.626565337496333e-08,0.8,116.26687734168527,38.5534471837216
5,2.1,2.2689330804415887e-09,5.1773063361655513e-08,1.0,116.98266913533955,90.09001850101015
6,2.3000000000000003,1.586990740853603e-09,4.6210422308598776e-08,1.2,141.934060513596,149.21235199032654
7,2.5,1.159867896027506e-09,4.0480529855999945e-08,1.4000000000000001,163.2368456691579,309.81738445992244
8,2.7,9.202979604114708e-10,4.353649110007017e-08,1.6,184.0037378742724,338.79679015361154
9,2.9,7.27269488233833e-10,3.944214898531736e-08,1.8,163.16930225051587,419.1381105129501
10,3.1,2.163712400323561e-10,1.6923551276778616e-08,2.0,203.90104819629767,751.2250114589506
11,3.3000000000000003,1.7979134859187235e-10,1.6440220116289644e-08,2.2,227.8960050039898,1196.0726818682406
12,3.5,1.9944127892002405e-10,1.8346002780894148e-08,2.4,297.61688237059207,2039.234794529673
13,3.7,1.0925487519507434e-10,2.237978633080921e-08,2.6,443.74454889474947,3701.2532259019554
14,3.9,2.2198101600301392e-10,5.0585756638024704e-08,2.8000000000000003,400.3172446609869,4212.988432924085
15,4.1,1.0267378861608339e-10,1.7017101841957766e-08,3.0,494.90744517037587,7187.842062311133
16,4.3,1.8680231751356398e-10,5.5832210088746184e-08,3.2,835.2784546884764,13974.592376089759
17,4.5,3.242265127451306e-10,9.75800662844523e-08,3.4,701.9866388243366,15796.389673099211
18,4.7,1.930604610928003e-10,3.3538257692032117e-08,3.6,1322.820464819174,37538.61070823903
19,4.9,1.7198864216339621e-10,1.3762797984918308e-07,3.8000000000000003,2882.2367549913115,60621.99641852667
20,5.1000000000000005,3.488902434259819e-10,1.4761154363381434e-07,4.0,4334.886467495991,152468.52019184068
