,keV_per_bin,Ex_min,Ex_max,Eg_min,Eg_max,Gg,Gg_err,rhoSn,rhoSn_err,E_gamma,gSF-median,gSF-error,E_x,NLD-median,NLD-error
0,200.0,2970.0,5200.0,999.9,6000.0,20.0,10.0,29194819.207288582,4442689.879370002,,,,,,
0,,,,,,,,,,1.1,1.1740606148814288e-08,1.0705417595638523e-08,0.0,57.86694630819616,36.819714576973595
1,,,,,,,,,,1.3,1.7856896079016685e-08,1.082605766576378e-08,0.2,28.892146842696576,15.091477880836806
2,,,,,,,,,,1.5,2.224384560320471e-08,1.4452134017076412e-08,0.4,56.203906262230205,6.654159807126263
3,,,,,,,,,,1.7,2.6538718103079605e-08,1.560073297151703e-08,0.6,115.1916112774907,53.338952455362445
4,,,,,,,,,,1.9000000000000001,3.3096635753144965e-08,1.715408616033959e-08,0.8,185.24073200275333,93.97770095912236
5,,,,,,,,,,2.1,4.086053144208692e-08,2.2093742651282872e-08,1.0,230.9154189356112,101.95309106112296
6,,,,,,,,,,2.3000000000000003,3.621651099662085e-08,2.043199014610765e-08,1.2,465.01156402953524,209.80481320270388
7,,,,,,,,,,2.5,3.519807897354757e-08,2.3869932663264457e-08,1.4000000000000001,609.7646258273305,259.7392734913789
8,,,,,,,,,,2.7,3.6514056661849664e-08,2.0512867212736626e-08,1.6,895.6235791710444,421.1388623972955
9,,,,,,,,,,2.9,4.0834573292271055e-08,2.052701677184838e-08,1.8,1217.805204885647,649.6217557707741
10,,,,,,,,,,3.1,1.7811055059244645e-08,1.0180726622650057e-08,2.0,1887.014739590381,1024.42175410931
11,,,,,,,,,,3.3000000000000003,1.985488802300421e-11,2.127412155358893e-11,2.2,2646.675337536732,1728.1666479358428
12,,,,,,,,,,3.5,8.366148923842192e-09,8.132149757002908e-09,2.4,4421.398614918223,2828.7456248582102
13,,,,,,,,,,3.7,2.3017616272051655e-08,1.9551520724102438e-08,2.6,8852.798271638441,5185.969893154731
14,,,,,,,,,,3.9,4.6839955047171765e-08,4.0078647009553196e-08,2.8000000000000003,9842.642310879384,5996.78652542624
15,,,,,,,,,,4.1,6.188006845974522e-08,5.2902950286650254e-08,3.0,17912.58997791269,9052.970176855833
16,,,,,,,,,,4.3,7.64863837944105e-08,6.052259481921213e-08,3.2,35559.188482498765,17577.14735053883
17,,,,,,,,,,4.5,1.2403314073967887e-07,9.071309492499346e-08,3.4,42392.66105362021,34353.80358040382
18,,,,,,,,,,4.7,1.2063038815764977e-07,1.794917581933519e-07,3.6,118964.03473090561,107566.2359457017
19,,,,,,,,,,4.9,1.9577829745968e-07,2.604664238885859e-07,3.8000000000000003,213772.3864184078,192520.84683232647
20,,,,,,,,,,5.1000000000000005,4.090094064319873e-07,4.4371140130338893e-07,4.0,359735.3891328362,551828.7060854936
