# E[keV] values
1.100000000000000000e+03 1.822375746843709729e-09
1.300000000000000000e+03 2.648492843656120582e-09
1.500000000000000000e+03 2.635006229254415317e-09
1.700000000000000000e+03 2.087652528611118073e-09
1.900000000000000000e+03 1.943508411225954245e-09
2.100000000000000000e+03 1.592819201258640956e-09
2.300000000000000000e+03 1.274904899404848846e-09
2.500000000000000000e+03 8.107298111763894177e-10
2.700000000000000000e+03 6.309294971114427608e-10
2.900000000000000000e+03 5.005765244899521324e-10
3.100000000000000000e+03 2.209964244049341873e-10
3.300000000000000000e+03 1.085777162678631831e-13
3.500000000000000000e+03 2.234864767645627526e-11
3.700000000000000000e+03 6.703902234341714944e-11
3.900000000000000000e+03 1.467255910080658006e-10
4.100000000000000000e+03 8.770941714209818399e-11
4.300000000000000000e+03 8.587941201872280810e-11
4.500000000000000000e+03 2.132197920027700705e-10
4.700000000000000000e+03 1.520444582630111237e-10
4.900000000000000000e+03 1.259470331271736701e-10
5.100000000000000000e+03 4.056863721713914834e-10
