# E[keV] values
0.000000000000000000e+00 1.000364516347689801e+02
2.000000000000000000e+02 1.853616057807826678e+01
4.000000000000000000e+02 7.525849943369691175e+01
6.000000000000000000e+02 1.153496820571564143e+02
8.000000000000000000e+02 2.446046232555640074e+02
1.000000000000000000e+03 2.491136559453109953e+02
1.200000000000000000e+03 3.988974996591733202e+02
1.400000000000000000e+03 6.101756622046128768e+02
1.600000000000000000e+03 8.365462647452758347e+02
1.800000000000000000e+03 1.033568361722487680e+03
2.000000000000000000e+03 1.820350779743597514e+03
2.200000000000000000e+03 3.125187756305895618e+03
2.400000000000000000e+03 2.931521864040929358e+03
2.600000000000000000e+03 5.420298371457084613e+03
2.800000000000000000e+03 1.114995572086860375e+04
3.000000000000000000e+03 1.503350346403488766e+04
3.200000000000000000e+03 2.504533318966004299e+04
3.400000000000000000e+03 2.698843028984688499e+04
3.600000000000000000e+03 2.319698587572328324e+04
3.800000000000000000e+03 5.364304998509294819e+04
