# E[keV] values
1.100000000000000000e+03 2.547714169928766276e-08
1.300000000000000000e+03 2.551919015103294871e-08
1.500000000000000000e+03 2.892732603332033682e-08
1.700000000000000000e+03 3.113739283968113343e-08
1.900000000000000000e+03 3.864017092429365646e-08
2.100000000000000000e+03 4.267828396235101796e-08
2.300000000000000000e+03 4.119303180042639230e-08
2.500000000000000000e+03 3.689033238575375438e-08
2.700000000000000000e+03 3.922959566690155866e-08
2.900000000000000000e+03 4.373850241611613091e-08
3.100000000000000000e+03 2.678734002782735779e-08
3.300000000000000000e+03 1.557458319574976213e-11
3.500000000000000000e+03 9.629763439117561311e-09
3.700000000000000000e+03 2.202115258018151829e-08
3.900000000000000000e+03 7.022926011841110642e-08
4.100000000000000000e+03 1.400289751787594434e-09
4.300000000000000000e+03 5.836719056836911002e-08
4.500000000000000000e+03 1.293716065797536881e-07
4.700000000000000000e+03 5.143333871151421432e-07
4.900000000000000000e+03 1.092618415230578350e-07
5.100000000000000000e+03 3.069359573330778197e-11
5.300000000000000000e+03 8.436303608425433709e-06
5.500000000000000000e+03 6.370306476741016786e-05
