# E[keV] values
0.000000000000000000e+00 8.203001271978000375e+01
2.000000000000000000e+02 3.401792550876771060e+01
4.000000000000000000e+02 5.447899122357732438e+01
6.000000000000000000e+02 2.109787865378021650e+02
8.000000000000000000e+02 2.497172601579781599e+02
1.000000000000000000e+03 3.658329735308064414e+02
1.200000000000000000e+03 6.274826905363601099e+02
1.400000000000000000e+03 9.617529144863735837e+02
1.600000000000000000e+03 1.354195863363171839e+03
1.800000000000000000e+03 1.859285568963215155e+03
2.000000000000000000e+03 2.739700580053977319e+03
2.200000000000000000e+03 4.119284133715763346e+03
2.400000000000000000e+03 7.503382422424228935e+03
2.600000000000000000e+03 1.165216172428356913e+04
2.800000000000000000e+03 1.447173866029061173e+04
3.000000000000000000e+03 2.413577250909230861e+04
3.200000000000000000e+03 4.845926573177834507e+04
3.400000000000000000e+03 6.005815453081176383e+04
3.600000000000000000e+03 1.010919493328601820e+05
3.800000000000000000e+03 1.913032747072662751e+05
4.000000000000000000e+03 4.229245409846726689e+05
4.200000000000000000e+03 1.378485120571159758e+06
4.400000000000000000e+03 2.459381595098981634e+06
