# E[keV] values
1.100000000000000000e+03 2.404018733901086076e-08
1.300000000000000000e+03 3.920579647534059794e-08
1.500000000000000000e+03 4.754376395078893720e-08
1.700000000000000000e+03 5.058387958575291859e-08
1.900000000000000000e+03 6.889425753887275307e-08
2.100000000000000000e+03 8.021627575096851880e-08
2.300000000000000000e+03 8.189968700290410703e-08
2.500000000000000000e+03 7.714355495473823153e-08
2.700000000000000000e+03 6.943715180702069255e-08
2.900000000000000000e+03 7.837117533778447756e-08
3.100000000000000000e+03 4.520656214398492222e-08
3.300000000000000000e+03 4.085154685194118544e-11
3.500000000000000000e+03 3.162167877872344595e-08
3.700000000000000000e+03 4.686172835805572168e-08
3.900000000000000000e+03 1.350497615852369421e-07
4.100000000000000000e+03 6.083598639826891470e-09
4.300000000000000000e+03 1.771689731131111365e-07
4.500000000000000000e+03 4.328716605675873786e-07
4.700000000000000000e+03 2.090957223038050482e-07
4.900000000000000000e+03 6.214630161836050747e-08
5.100000000000000000e+03 1.951586421160811821e-10
5.300000000000000000e+03 1.190211097917911576e-06
5.500000000000000000e+03 3.929365117536285790e-06
