# E[keV] values
1.125000000000000000e+03 3.212073317282119547e-08
1.375000000000000000e+03 3.922067225440621231e-08
1.625000000000000000e+03 3.754328742362940983e-08
1.875000000000000000e+03 6.015606864894635952e-08
2.125000000000000000e+03 7.970222285732195496e-08
2.375000000000000000e+03 5.899404544638695531e-08
2.625000000000000000e+03 7.086136172295817244e-08
2.875000000000000000e+03 6.090787771814601421e-08
3.125000000000000000e+03 4.952991223815752662e-08
3.375000000000000000e+03 2.240605661632827441e-08
3.625000000000000000e+03 5.251681734080976552e-08
3.875000000000000000e+03 8.867374471228942251e-08
4.125000000000000000e+03 1.989559374954197056e-07
4.375000000000000000e+03 2.629732888511968496e-07
4.625000000000000000e+03 1.870674783623570456e-07
4.875000000000000000e+03 1.251239622152599211e-07
5.125000000000000000e+03 5.068554730957521149e-07
