# E[keV] values
0.000000000000000000e+00 4.213294322472977882e+01
2.500000000000000000e+02 3.943914613468741948e+01
5.000000000000000000e+02 7.964147332963992199e+01
7.500000000000000000e+02 1.395603918011583175e+02
1.000000000000000000e+03 2.349978167830568623e+02
1.250000000000000000e+03 3.871048208342500629e+02
1.500000000000000000e+03 6.041040278549751292e+02
1.750000000000000000e+03 1.057908215497230685e+03
2.000000000000000000e+03 2.133594092780346273e+03
2.250000000000000000e+03 3.611764463158476246e+03
2.500000000000000000e+03 8.711866138920160665e+03
2.750000000000000000e+03 1.122231792411686365e+04
3.000000000000000000e+03 1.686699293497981125e+04
3.250000000000000000e+03 4.416049219049538806e+04
3.500000000000000000e+03 7.879856800669133372e+04
3.750000000000000000e+03 1.500159620236367628e+05
4.000000000000000000e+03 3.301564796551864711e+05
