 Parameters used:

First geneneration spectra extracted for
excitation energies between 10023.-  -37. keV
corresponding to y-channels   113 -   16
 Number of spectra=   98
 Ax0 = -1944.0 Ax1 =   120.0 Ay0 = -1696.8 Ay1 =   103.7
 AxW0=     0.0 AxW1=     0.0 AyW0=     0.0 AyW1=     0.0
 Weighting: 0 Level density parameter a=
 Normalization= 2 Stat/Tot= 1 Areacorr.= 1
 Experimental lower gamma threshold:      300.0 keV (ch=  19)
 Upper threshold for statistical gammas:  430.0 keV (ch=  20)
 Average energy entry point in g.s. band:   50.(stat)     0.(tot)
 Sliding threshold given by Ex*R, with R = 0.30
 Multiplicities: MA = Af/Afg and ME = (Ex-ExEntry)/<Eg>

Iteration number:   1
Y-ch   Ex        Af        Ag       Afg  Mult    Sing Alpha MATot METot MASta MESta
113 10023.      231.        0.      231. 5.60    1000  0.00  1.00  5.72  1.00  5.60
112  9920.      229.        0.      229. 4.13    1000  0.00  1.00  4.18  1.00  4.13
111  9816.      250.        0.      250. 5.49    1000  0.00  1.00  5.77  1.00  5.49
110  9712.      268.        0.      268. 5.15    1000  0.00  1.00  5.38  1.00  5.15
109  9609.      297.        0.      297. 4.94    1000  0.00  1.00  5.34  1.00  4.94
108  9505.      379.        0.      379. 4.75    1000  0.00  1.00  5.19  1.00  4.75
107  9401.      336.        0.      336. 4.71    1000  0.00  1.00  4.90  1.00  4.71
106  9297.      339.        0.      339. 5.35    1000  0.00  1.00  5.62  1.00  5.35
105  9194.      355.        0.      355. 4.81    1000  0.00  1.00  5.22  1.00  4.81
104  9090.      421.        0.      421. 5.00    1000  0.00  1.00  5.37  1.00  5.00
103  8986.      399.        0.      399. 5.09    1000  0.00  1.00  5.30  1.00  5.09
102  8883.      425.        0.      425. 4.73    1000  0.00  1.00  4.88  1.00  4.73
101  8779.      427.        0.      427. 5.46    1000  0.00  1.00  5.70  1.00  5.46
100  8675.      553.        0.      553. 4.94    1000  0.00  1.00  5.06  1.00  4.94
 99  8571.      562.        0.      562. 5.17    1000  0.00  1.00  5.27  1.00  5.17
 98  8468.      613.        0.      613. 5.37    1000  0.00  1.00  5.46  1.00  5.37
 97  8364.      592.        0.      592. 5.14    1000  0.00  1.00  5.27  1.00  5.14
 96  8260.      598.        0.      598. 5.24    1000  0.00  1.00  5.54  1.00  5.24
 95  8156.      626.        0.      626. 4.85    1000  0.00  1.00  5.22  1.00  4.85
 94  8053.      618.        0.      618. 4.64    1000  0.00  1.00  4.79  1.00  4.64
 93  7949.      684.        0.      684. 4.83    1000  0.00  1.00  5.11  1.00  4.83
 92  7845.      741.        0.      741. 5.09    1000  0.00  1.00  5.25  1.00  5.09
 91  7742.      760.        0.      760. 5.24    1000  0.00  1.00  5.66  1.00  5.24
 90  7638.      771.        0.      771. 4.77    1000  0.00  1.00  5.09  1.00  4.77
 89  7534.      862.        0.      862. 4.79    1000  0.00  1.00  4.99  1.00  4.79
 88  7430.      867.        0.      867. 5.04    1000  0.00  1.00  5.23  1.00  5.04
 87  7327.      906.        0.      906. 4.82    1000  0.00  1.00  5.10  1.00  4.82
 86  7223.     1049.        0.     1049. 5.09    1000  0.00  1.00  5.25  1.00  5.09
 85  7119.     1076.        0.     1076. 4.29    1000  0.00  1.00  4.43  1.00  4.29
 84  7016.     1039.        0.     1039. 4.76    1000  0.00  1.00  4.98  1.00  4.76
 83  6912.     1148.        0.     1148. 4.41    1000  0.00  1.00  4.60  1.00  4.41
 82  6808.     1152.        0.     1152. 4.37    1000  0.00  1.00  4.53  1.00  4.37
 81  6704.     1229.        0.     1229. 4.37    1000  0.00  1.00  4.55  1.00  4.37
 80  6601.     1268.        0.     1268. 4.54    1000  0.00  1.00  4.71  1.00  4.54
 79  6497.     1284.        0.     1284. 4.13    1000  0.00  1.00  4.31  1.00  4.13
 78  6393.     1291.        0.     1291. 4.11    1000  0.00  1.00  4.24  1.00  4.11
 77  6290.     1336.        0.     1336. 4.22    1000  0.00  1.00  4.45  1.00  4.22
 76  6186.     1423.        0.     1423. 4.01    1000  0.00  1.00  4.14  1.00  4.01
 75  6082.     1459.        0.     1459. 3.72    1000  0.00  1.00  3.94  1.00  3.72
 74  5978.     1500.        0.     1500. 3.84    1000  0.00  1.00  4.07  1.00  3.84
 73  5875.     1438.        0.     1438. 3.90    1000  0.00  1.00  4.08  1.00  3.90
 72  5771.     1408.        0.     1408. 3.65    1000  0.00  1.00  3.76  1.00  3.65
 71  5667.     1455.        0.     1455. 3.58    1000  0.00  1.00  3.76  1.00  3.58
 70  5564.     1426.        0.     1426. 3.76    1000  0.00  1.00  3.88  1.00  3.76
 69  5460.     1192.        0.     1192. 3.19    1000  0.00  1.00  3.33  1.00  3.19
 68  5356.     1130.        0.     1130. 3.05    1000  0.00  1.00  3.25  1.00  3.05
 67  5252.     1024.        0.     1024. 3.02    1000  0.00  1.00  3.32  1.00  3.02
 66  5149.     1105.        0.     1105. 2.87    1000  0.00  1.00  3.13  1.00  2.87
 65  5045.     1090.        0.     1090. 2.74    1000  0.00  1.00  2.95  1.00  2.74
 64  4941.     1017.        0.     1017. 2.63    1000  0.00  1.00  2.82  1.00  2.63
 63  4837.     1070.        0.     1070. 2.86    1000  0.00  1.00  3.09  1.00  2.86
 62  4734.      970.        0.      970. 2.57    1000  0.00  1.00  2.82  1.00  2.57
 61  4630.     1075.        0.     1075. 2.59    1000  0.00  1.00  2.84  1.00  2.59
 60  4526.     1059.        0.     1059. 2.75    1000  0.00  1.00  2.99  1.00  2.75
 59  4423.      947.        0.      947. 2.68    1000  0.00  1.00  2.88  1.00  2.68
 58  4319.     1027.        0.     1027. 2.49    1000  0.00  1.00  2.67  1.00  2.49
 57  4215.     1015.        0.     1015. 2.32    1000  0.00  1.00  2.41  1.00  2.32
 56  4111.     1007.        0.     1007. 2.43    1000  0.00  1.00  2.62  1.00  2.43
 55  4008.     1094.        0.     1094. 2.33    1000  0.00  1.00  2.55  1.00  2.33
 54  3904.      972.        0.      972. 2.33    1000  0.00  1.00  2.51  1.00  2.33
 53  3800.     1026.        0.     1026. 2.25    1000  0.00  1.00  2.53  1.00  2.25
 52  3697.     1031.        0.     1031. 2.28    1000  0.00  1.00  2.47  1.00  2.28
 51  3593.      996.        0.      996. 2.36    1000  0.00  1.00  2.60  1.00  2.36
 50  3489.     1088.        0.     1088. 2.22    1000  0.00  1.00  2.46  1.00  2.22
 49  3385.     1131.        0.     1131. 2.16    1000  0.00  1.00  2.34  1.00  2.16
 48  3282.     1136.        0.     1136. 2.09    1000  0.00  1.00  2.34  1.00  2.09
 47  3178.     1109.        0.     1109. 2.02    1000  0.00  1.00  2.29  1.00  2.02
 46  3074.     1231.        0.     1231. 2.00    1000  0.00  1.00  2.17  1.00  2.00
 45  2971.     1104.        0.     1104. 1.98    1000  0.00  1.00  2.24  1.00  1.98
 44  2867.     1009.        0.     1009. 1.95    1000  0.00  1.00  2.24  1.00  1.95
 43  2763.     1125.        0.     1125. 1.98    1000  0.00  1.00  2.27  1.00  1.98
 42  2659.      967.        0.      967. 1.78    1000  0.00  1.00  2.07  1.00  1.78
 41  2556.      983.        0.      983. 1.76    1000  0.00  1.00  2.05  1.00  1.76
 40  2452.      997.        0.      997. 1.68    1000  0.00  1.00  1.88  1.00  1.68
 39  2348.      872.        0.      872. 1.64    1000  0.00  1.00  1.91  1.00  1.64
 38  2244.     1028.        0.     1028. 1.64    1000  0.00  1.00  1.77  1.00  1.64
 37  2141.      990.        0.      990. 1.62    1000  0.00  1.00  1.87  1.00  1.62
 36  2037.     1006.        0.     1006. 1.61    1000  0.00  1.00  1.87  1.00  1.61
 35  1933.      981.        0.      981. 1.62    1000  0.00  1.00  1.91  1.00  1.62
 34  1830.      998.        0.      998. 1.59    1000  0.00  1.00  1.84  1.00  1.59
 33  1726.      894.        0.      894. 1.63    1000  0.00  1.00  1.83  1.00  1.63
 32  1622.      901.        0.      901. 1.69    1000  0.00  1.00  1.93  1.00  1.69
 31  1518.      929.        0.      929. 1.57    1000  0.00  1.00  1.78  1.00  1.57
 30  1415.      906.        0.      906. 1.52    1000  0.00  1.00  1.70  1.00  1.52
 29  1311.     1088.        0.     1088. 1.65    1000  0.00  1.00  1.71  1.00  1.65
