Response function created for file:alfna_ca at 19-Oct-20 14:35:31
Calibration (a0,a1)=********  40.000  FWHM (rel. at 1.33 MeV)=   6.770

 Egam(keV) FWHM(keV) EffTot  Photo  Compton Single  Double   Annih
   256.0      34.1   0.767  0.7167  0.2833  0.0000  0.0000  0.0000
   576.0      62.5   0.869  0.6136  0.3864  0.0000  0.0000  0.0000
   896.0      76.3   0.946  0.5541  0.4451  0.0009  0.0000  0.0000
  1216.0      86.0   0.983  0.4555  0.5378  0.0067  0.0000  0.0000
  1536.0     100.4   1.001  0.4038  0.5838  0.0092  0.0000  0.0032
  1856.0     113.5   1.011  0.3644  0.6168  0.0119  0.0000  0.0069
  2176.0     127.2   1.019  0.3318  0.6414  0.0153  0.0000  0.0114
  2496.0     139.1   1.025  0.2982  0.6671  0.0187  0.0000  0.0159
  2816.0     149.3   1.031  0.2648  0.6929  0.0221  0.0000  0.0203
  3136.0     161.6   1.036  0.2470  0.6921  0.0331  0.0070  0.0209
  3456.0     172.4   1.040  0.2279  0.6980  0.0371  0.0076  0.0294
  3776.0     182.1   1.043  0.2082  0.7049  0.0411  0.0081  0.0377
  4096.0     190.7   1.046  0.1893  0.7106  0.0452  0.0087  0.0462
  4416.0     198.3   1.049  0.1690  0.7185  0.0489  0.0092  0.0544
  4736.0     205.8   1.052  0.1598  0.7261  0.0516  0.0091  0.0533
  5056.0     212.8   1.055  0.1528  0.7362  0.0535  0.0088  0.0486
  5376.0     218.9   1.058  0.1467  0.7448  0.0557  0.0085  0.0442
  5696.0     224.2   1.060  0.1404  0.7537  0.0579  0.0082  0.0398
  6016.0     228.6   1.063  0.1332  0.7642  0.0596  0.0079  0.0351
  6336.0     236.5   1.065  0.1291  0.7687  0.0590  0.0080  0.0353
  6656.0     246.7   1.067  0.1255  0.7718  0.0565  0.0083  0.0380
  6976.0     256.7   1.070  0.1220  0.7747  0.0540  0.0086  0.0407
  7296.0     266.5   1.071  0.1180  0.7786  0.0513  0.0089  0.0432
  7616.0     276.1   1.072  0.1138  0.7828  0.0485  0.0092  0.0457
  7936.0     285.5   1.073  0.1103  0.7858  0.0460  0.0095  0.0485
  8256.0     294.8   1.074  0.1060  0.7902  0.0432  0.0098  0.0509
  8576.0     303.9   1.075  0.1022  0.7937  0.0406  0.0101  0.0535
  8896.0     312.9   1.076  0.0980  0.7979  0.0378  0.0104  0.0559
  9216.0     321.6   1.077  0.0936  0.8027  0.0349  0.0106  0.0582
  9536.0     330.2   1.078  0.0897  0.8062  0.0323  0.0109  0.0608
  9856.0     338.7   1.080  0.0853  0.8110  0.0295  0.0111  0.0630
 10176.0     346.5   1.080  0.0833  0.8132  0.0298  0.0112  0.0625
 10496.0     354.1   1.081  0.0816  0.8153  0.0306  0.0112  0.0613
 10816.0     361.5   1.082  0.0796  0.8180  0.0313  0.0112  0.0600
 11136.0     368.7   1.082  0.0776  0.8205  0.0321  0.0111  0.0587
 11456.0     375.7   1.083  0.0758  0.8227  0.0328  0.0111  0.0575
 11776.0     382.5   1.084  0.0740  0.8249  0.0336  0.0111  0.0564
 12096.0     389.1   1.084  0.0719  0.8277  0.0343  0.0111  0.0550
 12416.0     395.5   1.085  0.0702  0.8297  0.0351  0.0111  0.0539
 12736.0     401.7   1.085  0.0682  0.8323  0.0358  0.0111  0.0526
 13056.0     407.7   1.086  0.0664  0.8345  0.0366  0.0111  0.0514
 13376.0     413.4   1.087  0.0646  0.8366  0.0374  0.0111  0.0503
 13696.0     419.0   1.087  0.0626  0.8393  0.0381  0.0110  0.0490
 Details on efficiency up to 1000 keV:
    Egam  EffTot  EffExp  EffTot*EffExp
=======================================
    16.0   0.703   0.000   0.000
    56.0   0.712   0.000   0.000
    96.0   0.728   0.000   0.000
   136.0   0.737   0.023   0.017
   176.0   0.745   0.089   0.066
   216.0   0.755   0.208   0.157
   256.0   0.767   0.348   0.267
   296.0   0.779   0.510   0.397
   336.0   0.791   0.710   0.561
   376.0   0.803   0.787   0.632
   416.0   0.816   0.833   0.680
   456.0   0.832   0.878   0.731
   496.0   0.848   0.924   0.784
   536.0   0.859   0.970   0.833
   576.0   0.869   1.000   0.869
   616.0   0.879   1.000   0.879
   656.0   0.889   1.000   0.889
   696.0   0.899   1.000   0.899
   736.0   0.908   1.000   0.908
   776.0   0.918   1.000   0.918
   816.0   0.927   1.000   0.927
   856.0   0.936   1.000   0.936
   896.0   0.946   1.000   0.946
   936.0   0.955   1.000   0.955
   976.0   0.964   1.000   0.964
  1016.0   0.971   1.000   0.971
